#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
# Details about BMG text files are available in the Web:
#  * Syntax and Semantics: https://szs.wiimm.de/doc/bmg/text
#  * The BMG file format:  https://szs.wiimm.de/r/wiki/BMG
#
#
#------------------------------------------------------------------------------

# The endianness of binary files: 0=big endian (default), 1=little endian.
# Little endian is only tested for encoding UTF-8 (need examples of analysis).
@ENDIAN = 0

# If 1, then enable legacy (GameCube) mode for old binary BMG files.
# If enabled, ENCODING is always CP1252.
@LEGACY = 0

# Define encoding of BMG: 1=CP1252, 2=UTF-16/be, 3=Shift-JIS, 4=UTF-8
@ENCODING = 2

# Create »MID1« section: 0=off, 1=on
@BMG-MID = 0

# Size of each element of section 'INF1' (MKW=8).
# This setting has impact to attributes and MKW features.
@INF-SIZE = 0x08

# Default attribute values for this BMG (MKW=[1])
@DEFAULT-ATTRIBS = [0]

# Use MKW specific color names: 0=off, 1=auto, 2=on
@COLOR-NAMES = 1

# Use MKW messages and track names: 0=off, 1=auto, 2=on
@MKW-MESSAGES = 1

#
#------------------------------------------------------------------------------

# This part defines values for unknown parameters of section headers.
@UNKNOWN-INF32-0C =    0xb0000	# 32 bit value of section INF1 offset 0x0c
@UNKNOWN-MID16-0A =     0x1000	# 16 bit value of section MID1 offset 0x0a
@UNKNOWN-MID32-0C =          0	# 32 bit value of section MID1 offset 0x0c

#
#------------------------------------------------------------------------------

    7e    = %1${} ist in %2${} gefallen!
    7f    = %2${} hat %1${} ziemlich überrascht!
    80    = %2${} hat %1${} ziemlich überrascht!
    81    = %1${} starrt auf %2${}.
    82    = %1${} starrt auf %2${}.
    83    = %1${} starrt auf %2${}.
    84    = %{} macht einen Luftspaziergang.
    85    = %{} macht einen Luftspaziergang.
    86    = %{} macht einen Luftspaziergang.
    87    = %{} hat etwas Ungewöhnliches gefunden!
    88    = %{} hat etwas Ungewöhnliches gefunden!
    89    = Offenbar will %{} etwas mehr Aufmerksamkeit.
    8a    = Offenbar will %{} etwas mehr Aufmerksamkeit.
    8b    = %{} will die Aufmerksamkeit von allen erregen.
    8c    = %{} will die Aufmerksamkeit von allen erregen.
    8d    = Herausforderung nicht bestanden!
    8e    = Möchte %{} irgendwohin geschossen werden?
    8f    = Möchte %{} irgendwohin geschossen werden?
    90    = Möchte %{} irgendwohin geschossen werden?
    91    = %{} ist herausgekommen!
    92    = %{} ist herausgekommen!
    93    = %{} ist herausgekommen!
    94    = %{} sind herausgekommen!
    95    = %{} sind herausgekommen!
    96    = %{} sind herausgekommen!
    97    = Ob %{} glücklich ist?
    98    = Ich glaube, %1${} ahmt %2${} nach!
    99    = %{} singt offenbar ein Lied!
    9a    = %{} sieht einsam aus.
    9b    = Ob %{} wohl Kopfschmerzen hat?
    9c    = %{} verhält sich etwas merkwürdig.
    9d    = %1${} wird von %2${} getragen.
    9e    = %1${} wird von %2${} getragen.
    9f    = %1${} wird von %2${} getragen.
    a0    = %{} scheint aus irgendeinem Grund glücklich zu sein.
    a1    = %1${} jagt %2${} hinterher!
    a2    = %{} wird langsam ruppig!
    a3    = %{} jagt seinem eigenen Schweif hinterher!
    a4    = %{} läuft rückwärts!
    a5    = Es gibt so viele aufregende Arten von Pokémon...
    a6    = Am liebsten würde ich hier mit allen Pokémon leben!
    a7    = Dann könnten wir ihnen Spielzeuge geben, damit sie sich nicht
     +  langweilen.
    a8    = Oder wir entspannen uns und genießen die Zeit mit ihnen.
    a9    = So bleiben! Sich mit den Pokémon zu fotografieren macht Spaß!
    aa    = Ich kann mir keinen perfekteren Zeitvertreib vorstellen.
    ab    = %{} ist aufgewacht!
    ac    = %{} ist aufgewacht!
    ad    = %{} ist aufgewacht!
    ae    = Offenbar ist %{} irgendwohin unterwegs.
    af    = Offenbar ist %{} irgendwohin unterwegs.
    b0    = Offenbar ist %{} irgendwohin unterwegs.
    b1    = Offenbar möchte %{} mehr über seine Freunde erfahren.
    b2    = Ob %{} wohl mehr über seine Freunde erfahren will?
    b3    = %1${} scheint Interesse an %2${} zu haben.
    b4    = %1${} scheint Interesse an %2${} zu haben.
    b5    = %1${} scheint Interesse an %2${} zu haben.
    b6    = Hat %1${} etwa Angst vor %2${}?
    b7    = Hat %1${} etwa Angst vor %2${}?
    b8    = Hat %1${} etwa Angst vor %2${}?
    b9    = Offenbar hat %{} Angst vor etwas!
    ba    = Offenbar hat %{} Angst vor etwas!
    bb    = Offenbar hat %{} Angst vor etwas!
    bc    = %1${} kommt mit %2${} wohl nicht zurecht...
    bd    = %1${} kommt mit %2${} wohl nicht zurecht...
    be    = %1${} kommt mit %2${} wohl nicht zurecht...
    bf    = %{} ist umgefallen!
    c0    = %{} ist umgefallen!
    c1    = %{} ist umgefallen!
    c2    = Das ist das %1${}-Pokémon %2${}.
    c3    = Das ist %{}.
    c4    = Das ist %{}.
    c5    = %{} übt eine Attacke!
    c6    = %{} ruft alle zu sich!
    c7    = Das ist das %2$ls von %1${}.
    c8    = Das ist das %2$ls von %1${}. Sein Spitzname lautet %3${}.
    c9    = %1${} entspannt sich auf %2${}.
    ca    = %1${} entspannt sich auf %2${}.
    cb    = %1${} entspannt sich auf %2${}.
    cc    = %1${} ist %2${} zu nahe gekommen!
    cd    = %1${} ist %2${} zu nahe gekommen!
    ce    = %1${} ist %2${} zu nahe gekommen!
    cf    = KAWUMM!
    d0	= %{} schaut hier rüber.
    d1	= %{} schaut hier rüber.
    d2	= %{} schaut hier rüber.
    d3	= %{} wurde zurückgestoßen.
    d4	= %{} wurde zurückgestoßen.
    d5	= %{} wurde zurückgestoßen.
    d6	= Möchte %{} fotografiert werden?
    d7	= Möchte %{} fotografiert werden?
    d8	= Möchte %{} fotografiert werden?
    d9	= %{} scheint einen angenehmen Geruch zu haben.
    da	= %{} scheint einen angenehmen Geruch zu haben.
    db	= %{} scheint einen angenehmen Geruch zu haben.
    dc	= %{} scheint einen angenehmen Geruch zu haben.
    dd	= %{} scheint einen angenehmen Geruch zu haben.
    de	= %{} scheint einen angenehmen Geruch zu haben.
    df	= %{} leuchtet.
    e0	= %{} leuchtet.
    e1	= %{} leuchtet.
    e2	= %{} leuchtet.
    e3	= %{} leuchtet.
    e4	= %{} leuchtet.
    e5	= %{} ist verschwunden.
    e6	= %{} ist verschwunden.
    e7	= %{} ist verschwunden.
    e8	= %{} ist verschwunden.
    e9	= %{} ist verschwunden.
    ea	= %{} ist verschwunden.
    eb	= %{} wurde geschockt.
    ec	= %{} wurde geschockt.
    ed	= %{} wurde geschockt.
    ee	= %{} möchte nicht mehr warten.
    ef	= %{} möchte nicht mehr warten.
    f0	= %{} möchte nicht mehr warten.
    f1	= %{} knüpft neue Freundschaften.
    f2	= %{} knüpft neue Freundschaften.
    f3	= %{} knüpft neue Freundschaften.
    f4	= %1${} ist jetzt mit %2${} befreundet.
    f5	= %1${} hat am %2${} gedreht.
    f6	= %1${} hat am %2${} gedreht.
    f7	= %1${} hat am %2${} gedreht.
    f8	= %1${} hat am %2${} gewackelt.
    f9	= %1${} hat am %2${} gewackelt.
    fa	= %1${} hat am %2${} gewackelt.
    fb	= Alles Gute zum Geburtstag %{}!
    fc	= Oh!?
    fd	= Es scheint als möchte %1${} mit %2${} reden.
    fe	= Es scheint als möchte %1${} mit %2${} reden.
    ff	= Es scheint als möchte %1${} mit %2${} reden.
   100	= %{} macht einen Aufruhr.
   101	= %{} macht einen Aufruhr.
   102	= %{} macht einen Aufruhr.
   103	= %{} sucht nach Essen.
   104	= %{} sucht nach Essen.
   105	= %{} sucht nach Essen.
   106	= %{} hat sich vergraben.
   107	= %{} hat sich vergraben.
   108	= %{} hat sich vergraben.
   109	= %1${} hat %2${} reingelegt.
   10a	= %1${} hat %2${} reingelegt.
   10b	= %1${} hat %2${} reingelegt.
   10c	= %1${} hat sich in %2${} verwandelt.
   10d	= %1${} hat sich in %2${} verwandelt.
   10e	= %1${} hat sich in %2${} verwandelt.

