# My Pokemon Ranch -- renderable Pokemon-model ("Pii") roster
# Extracted from 00000001.app (a DOL) @ vaddr 0x805DA180.
# 651 slots x 0x20 bytes each: { char* name_M, char* name_F, f32 scale, f32 size, u32 flags, u16, u16, u32 }.
# Model names (romaji) live in a blob at 0x8063B228, in National Dex order.
# NOTE: the model-table INDEX below is NOT the Pokemon's species number -- gender
#   variants (_M/_F) and forms each take their own slot, and 173 slots are placeholders
#   (name ptr -> 0x807Cxxxx) for species with no dedicated ranch model. Arceus fills 17
#   slots (632-648); the two eggs are 649 (TAMAGO_NORMAL) and 650 (TAMAGO_MANAFI).
# The talent_pt pokemon_level/met_location fields are SPECIES numbers, not these indices.
#
# index	name_M	name_F	kind
45	<807C0700>	<807C0700>	placeholder
46	ZUBATTO_M	ZUBATTO_F	gendered
47	ZUBATTO_F	ZUBATTO_F	gendered
48	GORUBATTO_M	GORUBATTO_F	gendered
49	GORUBATTO_F	GORUBATTO_F	gendered
50	NAZONOKUSA	NAZONOKUSA	model
51	KUSAIHANA_M	KUSAIHANA_M	gendered
52	KUSAIHANA_F	KUSAIHANA_F	gendered
53	RAHURESIA_M	RAHURESIA_M	gendered
54	RAHURESIA_F	RAHURESIA_F	gendered
55	<807C0708>	<807C0708>	placeholder
56	PARASEKUTO	PARASEKUTO	model
57	<807C0710>	<807C0710>	placeholder
58	<807C0718>	<807C0718>	placeholder
59	<807C0720>	<807C0720>	placeholder
60	DAGUTORIO	DAGUTORIO	model
61	<807C0728>	<807C0728>	placeholder
62	PERUSIAN	PERUSIAN	model
63	<807C0730>	<807C0730>	placeholder
64	GORUDAKKU	GORUDAKKU	model
65	<807C0738>	<807C0738>	placeholder
66	OKORIZARU	OKORIZARU	model
67	<807C0740>	<807C0740>	placeholder
68	<807C0748>	<807C0748>	placeholder
69	<807C0750>	<807C0750>	placeholder
70	<807C0758>	<807C0758>	placeholder
71	NYOROBON	NYOROBON	model
72	<807C0760>	<807C0760>	placeholder
73	YUNGERAA_M	YUNGERAA_M	gendered
74	YUNGERAA_F	YUNGERAA_F	gendered
75	HUUDHIN_M	HUUDHIN_M	gendered
76	HUUDHIN_F	HUUDHIN_F	gendered
77	WANRIKII	WANRIKII	model
78	GOORIKII	GOORIKII	model
79	KAIRIKII	KAIRIKII	model
80	MADATUBOMI	MADATUBOMI	model
81	<807C0768>	<807C0768>	placeholder
82	UTUBOTTO	UTUBOTTO	model
83	MENOKURAGE	MENOKURAGE	model
84	DOKUKURAGE	DOKUKURAGE	model
85	ISITUBUTE	ISITUBUTE	model
86	<807C0770>	<807C0770>	placeholder
87	GOROONYA	GOROONYA	model
88	<807C0778>	<807C0778>	placeholder
89	GYAROPPU	GYAROPPU	model
90	<807C0780>	<807C0780>	placeholder
91	<807C0788>	<807C0788>	placeholder
92	<807C0790>	<807C0790>	placeholder
93	REAKOIRU	REAKOIRU	model
94	KAMONEGI	KAMONEGI	model
95	DOODOO_M	DOODOO_M	gendered
96	DOODOO_F	DOODOO_F	gendered
97	DOODORIO_M	DOODORIO_M	gendered
98	DOODORIO_F	DOODORIO_F	gendered
99	<807C0798>	<807C0798>	placeholder
100	<807C07A0>	<807C07A0>	placeholder
101	BETOBETAA	BETOBETAA	model
102	BETOBETON	BETOBETON	model
103	SHERUDAA	SHERUDAA	model
104	PARUSHEN	PARUSHEN	model
105	<807C07A8>	<807C07A8>	placeholder
106	<807C07B0>	<807C07B0>	placeholder
107	<807C07B8>	<807C07B8>	placeholder
108	<807C07C0>	<807C07C0>	placeholder
109	<807C07C8>	<807C07C8>	placeholder
110	SURIIPAA_M	SURIIPAA_F	gendered
111	SURIIPAA_F	SURIIPAA_F	gendered
112	<807C07D0>	<807C07D0>	placeholder
113	KINGURAA	KINGURAA	model
114	BIRIRIDAMA	BIRIRIDAMA	model
115	MARUMAIN	MARUMAIN	model
116	TAMATAMA	TAMATAMA	model
117	<807C07D8>	<807C07D8>	placeholder
118	KARAKARA	KARAKARA	model
119	GARAGARA	GARAGARA	model
120	SAWAMURAA	SAWAMURAA	model
121	EBIWARAA	EBIWARAA	model
122	BERORINGA	BERORINGA	model
123	<807C07E0>	<807C07E0>	placeholder
124	MATADOGASU	MATADOGASU	model
125	SAIHOON_M	SAIHOON_F	gendered
126	SAIHOON_F	SAIHOON_F	gendered
127	SAIDON_M	SAIDON_F	gendered
128	SAIDON_F	SAIDON_F	gendered
129	<807C07E8>	<807C07E8>	placeholder
130	MONZYARA	MONZYARA	model
131	<807C07F0>	<807C07F0>	placeholder
132	<807C07F8>	<807C07F8>	placeholder
133	<807C0800>	<807C0800>	placeholder
134	TOSAKINTO_M	TOSAKINTO_F	gendered
135	TOSAKINTO_F	TOSAKINTO_F	gendered
136	AZUMAOU_M	AZUMAOU_F	gendered
137	AZUMAOU_F	AZUMAOU_F	gendered
138	HITODEMAN	HITODEMAN	model
139	SUTAAMII	SUTAAMII	model
140	BARIYAADO	BARIYAADO	model
141	SUTORAIKU_M	SUTORAIKU_M	gendered
142	SUTORAIKU_F	SUTORAIKU_F	gendered
143	RUUZYURA	RUUZYURA	model
144	<807C0808>	<807C0808>	placeholder
145	<807C0810>	<807C0810>	placeholder
146	<807C0818>	<807C0818>	placeholder
147	KENTAROSU	KENTAROSU	model
148	KOIKINGU_M	KOIKINGU_F	gendered
149	KOIKINGU_F	KOIKINGU_F	gendered
150	GYARADOSU_M	GYARADOSU_M	gendered
151	GYARADOSU_F	GYARADOSU_F	gendered
152	RAPURASU	RAPURASU	model
153	<807C0820>	<807C0820>	placeholder
154	<807C0828>	<807C0828>	placeholder
155	SYAWAAZU	SYAWAAZU	model
156	SANDAASU	SANDAASU	model
157	BUUSUTAA	BUUSUTAA	model
158	<807C0830>	<807C0830>	placeholder
159	OMUNAITO	OMUNAITO	model
160	OMUSUTAA	OMUSUTAA	model
161	<807C0838>	<807C0838>	placeholder
162	KABUTOPUSU	KABUTOPUSU	model
163	<807C0840>	<807C0840>	placeholder
164	<807C0848>	<807C0848>	placeholder
165	HURIIZAA	HURIIZAA	model
166	<807C0850>	<807C0850>	placeholder
167	<807C0858>	<807C0858>	placeholder
168	MINIRYUU	MINIRYUU	model
169	HAKURYUU	HAKURYUU	model
170	<807C0860>	<807C0860>	placeholder
171	<807C0868>	<807C0868>	placeholder
172	<807C0870>	<807C0870>	placeholder
173	TIKORIITA	TIKORIITA	model
174	BEIRIIHU	BEIRIIHU	model
175	MEGANIUMU_M	MEGANIUMU_F	gendered
176	MEGANIUMU_F	MEGANIUMU_F	gendered
177	HINOARASI	HINOARASI	model
178	MAGUMARASI	MAGUMARASI	model
179	BAKUHUUN	BAKUHUUN	model
180	WANINOKO	WANINOKO	model
181	ARIGEITU	ARIGEITU	model
182	<807C0878>	<807C0878>	placeholder
183	<807C0880>	<807C0880>	placeholder
184	<807C0888>	<807C0888>	placeholder
185	<807C0890>	<807C0890>	placeholder
186	YORUNOZUKU	YORUNOZUKU	model
187	REDHIBA_M	REDHIBA_F	gendered
188	REDHIBA_F	REDHIBA_F	gendered
189	REDHIAN_M	REDHIAN_F	gendered
190	REDHIAN_F	REDHIAN_F	gendered
191	<807C0898>	<807C0898>	placeholder
192	ARIADOSU	ARIADOSU	model
193	KUROBATTO	KUROBATTO	model
194	<807C08A0>	<807C08A0>	placeholder
195	<807C08A8>	<807C08A8>	placeholder
196	<807C08B0>	<807C08B0>	placeholder
197	<807C08B8>	<807C08B8>	placeholder
198	<807C08C0>	<807C08C0>	placeholder
199	<807C08C8>	<807C08C8>	placeholder
200	TOGETIKKU	TOGETIKKU	model
201	<807C08D0>	<807C08D0>	placeholder
202	NEITHIO_M	NEITHIO_M	gendered
203	NEITHIO_F	NEITHIO_F	gendered
204	<807C08D8>	<807C08D8>	placeholder
205	<807C08E0>	<807C08E0>	placeholder
206	<807C08E8>	<807C08E8>	placeholder
207	KIREIHANA	KIREIHANA	model
208	<807C08F0>	<807C08F0>	placeholder
209	MARIRURI	MARIRURI	model
210	USOKKII_M	USOKKII_F	gendered
211	USOKKII_F	USOKKII_F	gendered
212	NYOROTONO_M	NYOROTONO_F	gendered
213	NYOROTONO_F	NYOROTONO_F	gendered
214	<807C08F8>	<807C08F8>	placeholder
215	<807C0900>	<807C0900>	placeholder
216	<807C0908>	<807C0908>	placeholder
217	EIPAMU_M	EIPAMU_F	gendered
218	EIPAMU_F	EIPAMU_F	gendered
219	HIMANATTU	HIMANATTU	model
220	KIMAWARI	KIMAWARI	model
221	YANYANMA	YANYANMA	model
222	<807C0910>	<807C0910>	placeholder
223	<807C0918>	<807C0918>	placeholder
224	<807C0920>	<807C0928>	placeholder
225	<807C0928>	<807C0928>	placeholder
226	<807C0930>	<807C0930>	placeholder
227	BURAKKII	BURAKKII	model
228	YAMIKARASU_M	YAMIKARASU_F	gendered
229	YAMIKARASU_F	YAMIKARASU_F	gendered
230	YADOKINGU	YADOKINGU	model
231	<807C0938>	<807C0938>	placeholder
232	ANNOON_A	ANNOON_A	model
233	ANNOON_B	ANNOON_B	model
234	ANNOON_C	ANNOON_C	model
235	ANNOON_D	ANNOON_D	model
236	ANNOON_E	ANNOON_E	model
237	ANNOON_F	ANNOON_F	gendered
238	ANNOON_G	ANNOON_G	model
239	ANNOON_H	ANNOON_H	model
240	ANNOON_I	ANNOON_I	model
241	ANNOON_J	ANNOON_J	model
242	ANNOON_K	ANNOON_K	model
243	ANNOON_L	ANNOON_L	model
244	ANNOON_M	ANNOON_M	gendered
245	ANNOON_N	ANNOON_N	model
246	ANNOON_O	ANNOON_O	model
247	ANNOON_P	ANNOON_P	model
248	ANNOON_Q	ANNOON_Q	model
249	ANNOON_R	ANNOON_R	model
250	ANNOON_S	ANNOON_S	model
251	ANNOON_T	ANNOON_T	model
252	ANNOON_U	ANNOON_U	model
253	ANNOON_V	ANNOON_V	model
254	ANNOON_W	ANNOON_W	model
255	ANNOON_X	ANNOON_X	model
256	ANNOON_Y	ANNOON_Y	model
257	ANNOON_Z	ANNOON_Z	model
258	ANNOON_EXQ	ANNOON_EXQ	model
259	ANNOON_QUE	ANNOON_QUE	model
260	SOONANSU_M	SOONANSU_M	gendered
261	SOONANSU_F	SOONANSU_F	gendered
262	KIRINRIKI_M	KIRINRIKI_M	gendered
263	KIRINRIKI_F	KIRINRIKI_F	gendered
264	KUNUGIDAMA	KUNUGIDAMA	model
265	FORETOSU	FORETOSU	model
266	<807C0940>	<807C0940>	placeholder
267	GURAIGAA_M	GURAIGAA_F	gendered
268	GURAIGAA_F	GURAIGAA_F	gendered
269	HAGANEERU_M	HAGANEERU_F	gendered
270	HAGANEERU_F	HAGANEERU_F	gendered
271	<807C0948>	<807C0948>	placeholder
272	GURANBURU	GURANBURU	model
273	HARIISEN	HARIISEN	model
274	HASSAMU_M	HASSAMU_F	gendered
275	HASSAMU_F	HASSAMU_F	gendered
276	TUBOTUBO	TUBOTUBO	model
277	HERAKUROSU_M	HERAKUROSU_M	gendered
278	HERAKUROSU_F	HERAKUROSU_F	gendered
279	NYUURA_M	NYUURA_M	gendered
280	NYUURA_F	NYUURA_F	gendered
281	HIMEGUMA	HIMEGUMA	model
282	RINGUMA_M	RINGUMA_F	gendered
283	RINGUMA_F	RINGUMA_F	gendered
284	MAGUMAGGU	MAGUMAGGU	model
285	MAGUKARUGO	MAGUKARUGO	model
286	<807C0950>	<807C0950>	placeholder
287	INOMUU_M	INOMUU_F	gendered
288	INOMUU_F	INOMUU_F	gendered
289	<807C0958>	<807C0958>	placeholder
290	<807C0960>	<807C0960>	placeholder
291	OKUTAN_M	OKUTAN_F	gendered
292	OKUTAN_F	OKUTAN_F	gendered
293	DERIBAADO	DERIBAADO	model
294	<807C0968>	<807C0968>	placeholder
295	<807C0970>	<807C0970>	placeholder
296	DERUBIRU	DERUBIRU	model
297	HERUGAA_M	HERUGAA_F	gendered
298	HERUGAA_F	HERUGAA_F	gendered
299	KINGUDORA	KINGUDORA	model
300	<807C0978>	<807C0978>	placeholder
301	DONFAN_M	DONFAN_F	gendered
302	DONFAN_F	DONFAN_F	gendered
303	PORIGONTWO	PORIGONTWO	model
304	<807C0980>	<807C0980>	placeholder
305	<807C0988>	<807C0988>	placeholder
306	<807C0990>	<807C0990>	placeholder
307	KAPOERAA	KAPOERAA	model
308	MUTYUURU	MUTYUURU	model
309	EREKIDDO	EREKIDDO	model
310	<807C0998>	<807C0998>	placeholder
311	MIRUTANKU	MIRUTANKU	model
312	HAPINASU	HAPINASU	model
313	<807C09A0>	<807C09A0>	placeholder
314	<807C09A8>	<807C09A8>	placeholder
315	<807C09B0>	<807C09B0>	placeholder
316	YOOGIRASU	YOOGIRASU	model
317	SANAGIRASU	SANAGIRASU	model
318	BANGIRASU	BANGIRASU	model
319	<807C09B8>	<807C09B8>	placeholder
320	<807C09C0>	<807C09C0>	placeholder
321	<807C09C8>	<807C09C8>	placeholder
322	<807C09D0>	<807C09D0>	placeholder
323	ZYUPUTORU	ZYUPUTORU	model
324	<807C09D8>	<807C09D8>	placeholder
325	ATYAMO_M	ATYAMO_F	gendered
326	ATYAMO_F	ATYAMO_F	gendered
327	WAKASYAMO_M	WAKASYAMO_F	gendered
328	WAKASYAMO_F	WAKASYAMO_F	gendered
329	BASYAAMO_M	BASYAAMO_M	gendered
330	BASYAAMO_F	BASYAAMO_F	gendered
331	MIZUGOROU	MIZUGOROU	model
332	NUMAKUROO	NUMAKUROO	model
333	RAGURAAZI	RAGURAAZI	model
334	<807C09E0>	<807C09E0>	placeholder
335	<807C09E8>	<807C09E8>	placeholder
336	ZIGUZAGUMA	ZIGUZAGUMA	model
337	MASSUGUMA	MASSUGUMA	model
338	<807C09F0>	<807C09F0>	placeholder
339	KARASARISU	KARASARISU	model
340	AGEHANTO_M	AGEHANTO_M	gendered
341	AGEHANTO_F	AGEHANTO_F	gendered
342	MAYURUDO	MAYURUDO	model
343	DOKUKEIRU_M	DOKUKEIRU_F	gendered
344	DOKUKEIRU_F	DOKUKEIRU_F	gendered
345	<807C09F8>	<807C09F8>	placeholder
346	HASUBURERO	HASUBURERO	model
347	RUNPAPPA_M	RUNPAPPA_M	gendered
348	RUNPAPPA_F	RUNPAPPA_F	gendered
349	<807C0A00>	<807C0A00>	placeholder
350	KONOHANA_M	KONOHANA_M	gendered
351	KONOHANA_F	KONOHANA_F	gendered
352	DAATENGU_M	DAATENGU_M	gendered
353	DAATENGU_F	DAATENGU_F	gendered
354	<807C0A08>	<807C0A08>	placeholder
355	OOSUBAME	OOSUBAME	model
356	<807C0A10>	<807C0A10>	placeholder
357	PERIPPAA	PERIPPAA	model
358	RARUTOSU	RARUTOSU	model
359	<807C0A18>	<807C0A18>	placeholder
360	SAANAITO	SAANAITO	model
361	<807C0A20>	<807C0A20>	placeholder
362	AMEMOOSU	AMEMOOSU	model
363	KINOKOKO	KINOKOKO	model
364	KINOGASSA	KINOGASSA	model
365	NAMAKERO	NAMAKERO	model
366	YARUKIMONO	YARUKIMONO	model
367	KEKKINGU	KEKKINGU	model
368	<807C0A28>	<807C0A28>	placeholder
369	TEKKANIN	TEKKANIN	model
370	<807C0A30>	<807C0A30>	placeholder
371	GONYONYO	GONYONYO	model
372	<807C0A38>	<807C0A38>	placeholder
373	BAKUONGU	BAKUONGU	model
374	MAKUNOSITA	MAKUNOSITA	model
375	HARITEYAMA	HARITEYAMA	model
376	<807C0A40>	<807C0A40>	placeholder
377	NOZUPASU	NOZUPASU	model
378	<807C0A48>	<807C0A48>	placeholder
379	ENEKORORO	ENEKORORO	model
380	YAMIRAMI	YAMIRAMI	model
381	<807C0A50>	<807C0A50>	placeholder
382	KOKODORA	KOKODORA	model
383	<807C0A58>	<807C0A58>	placeholder
384	BOSUGODORA	BOSUGODORA	model
385	ASANAN_M	ASANAN_F	gendered
386	ASANAN_F	ASANAN_F	gendered
387	TYAAREMU_M	TYAAREMU_M	gendered
388	TYAAREMU_F	TYAAREMU_F	gendered
389	<807C0A60>	<807C0A60>	placeholder
390	RAIBORUTO	RAIBORUTO	model
391	PURASURU	PURASURU	model
392	<807C0A68>	<807C0A68>	placeholder
393	BARUBIITO	BARUBIITO	model
394	IRUMIIZE	IRUMIIZE	model
395	ROZERIA_M	ROZERIA_F	gendered
396	ROZERIA_F	ROZERIA_F	gendered
397	GOKURIN_M	GOKURIN_F	gendered
398	GOKURIN_F	GOKURIN_F	gendered
399	MARUNOOMU_M	MARUNOOMU_M	gendered
400	MARUNOOMU_F	MARUNOOMU_F	gendered
401	<807C0A70>	<807C0A70>	placeholder
402	SAMEHADAA	SAMEHADAA	model
403	<807C0A78>	<807C0A78>	placeholder
404	<807C0A80>	<807C0A80>	placeholder
405	DONMERU_M	DONMERU_F	gendered
406	DONMERU_F	DONMERU_F	gendered
407	BAKUUDA_M	BAKUUDA_F	gendered
408	BAKUUDA_F	BAKUUDA_F	gendered
409	<807C0A88>	<807C0A88>	placeholder
410	<807C0A90>	<807C0A90>	placeholder
411	BUUPIGGU	BUUPIGGU	model
412	PATTIIRU	PATTIIRU	model
413	NAKKURAA	NAKKURAA	model
414	BIBURAABA	BIBURAABA	model
415	HURAIGON	HURAIGON	model
416	<807C0A98>	<807C0A98>	placeholder
417	NOKUTASU_M	NOKUTASU_M	gendered
418	NOKUTASU_F	NOKUTASU_F	gendered
419	<807C0AA0>	<807C0AA0>	placeholder
420	TIRUTARISU	TIRUTARISU	model
421	ZANGUUSU	ZANGUUSU	model
422	HABUNEEKU	HABUNEEKU	model
423	RUNATOON	RUNATOON	model
424	SORUROKKU	SORUROKKU	model
425	DOZYOTTI	DOZYOTTI	model
426	<807C0AA8>	<807C0AA8>	placeholder
427	<807C0AB0>	<807C0AB0>	placeholder
428	SIZARIGAA	SIZARIGAA	model
429	<807C0AB8>	<807C0AB8>	placeholder
430	NENDOORU	NENDOORU	model
431	<807C0AC0>	<807C0AC0>	placeholder
432	YUREIDORU	YUREIDORU	model
433	<807C0AC8>	<807C0AC8>	placeholder
434	AAMARUDO	AAMARUDO	model
435	<807C0AD0>	<807C0AD0>	placeholder
436	MIROKAROSU_M	MIROKAROSU_M	gendered
437	MIROKAROSU_F	MIROKAROSU_F	gendered
438	POWARUN_NORMAL	POWARUN_NORMAL	model
439	POWARUN_SUN	POWARUN_SUN	model
440	POWARUN_RAIN	POWARUN_RAIN	model
441	POWARUN_SNOW	POWARUN_SNOW	model
442	KAKUREON	KAKUREON	model
443	KAGEBOUZU	KAGEBOUZU	model
444	ZYUPETTA	ZYUPETTA	model
445	YOMAWARU	YOMAWARU	model
446	SAMAYOORU	SAMAYOORU	model
447	TOROPIUSU	TOROPIUSU	model
448	<807C0AD8>	<807C0AD8>	placeholder
449	<807C0AE0>	<807C0AE0>	placeholder
450	<807C0AE8>	<807C0AE8>	placeholder
451	YUKIWARASI	YUKIWARASI	model
452	ONIGOORI	ONIGOORI	model
453	TAMAZARASI	TAMAZARASI	model
454	TODOGURAA	TODOGURAA	model
455	TODOZERUGA	TODOZERUGA	model
456	<807C0AF0>	<807C0AF0>	placeholder
457	HANTEERU	HANTEERU	model
458	SAKURABISU	SAKURABISU	model
459	ZIIRANSU_M	ZIIRANSU_F	gendered
460	ZIIRANSU_F	ZIIRANSU_F	gendered
461	RABUKASU	RABUKASU	model
462	<807C0AF8>	<807C0AF8>	placeholder
463	<807C0B00>	<807C0B00>	placeholder
464	BOOMANDA	BOOMANDA	model
465	<807C0B08>	<807C0B08>	placeholder
466	<807C0B10>	<807C0B10>	placeholder
467	METAGUROSU	METAGUROSU	model
468	REZIROKKU	REZIROKKU	model
469	REZIAISU	REZIAISU	model
470	REZISUTIRU	REZISUTIRU	model
471	RATHIASU	RATHIASU	model
472	RATHIOSU	RATHIOSU	model
473	<807C0B18>	<807C0B18>	placeholder
474	GURAADON	GURAADON	model
475	REKKUUZA	REKKUUZA	model
476	<807C0B20>	<807C0B20>	placeholder
477	DEOKISISU_NORMAL	DEOKISISU_NORMAL	model
478	DEOKISISU_ATTACK	DEOKISISU_ATTACK	model
479	DEOKISISU_DEFENCE	DEOKISISU_DEFENCE	model
480	DEOKISISU_SPEED	DEOKISISU_SPEED	model
481	<807C0B28>	<807C0B28>	placeholder
482	HAYASIGAME	HAYASIGAME	model
483	DODAITOSU	DODAITOSU	model
484	HIKOZARU	HIKOZARU	model
485	MOUKAZARU	MOUKAZARU	model
486	GOUKAZARU	GOUKAZARU	model
487	POTTYAMA	POTTYAMA	model
488	POTTAISI	POTTAISI	model
489	ENPERUTO	ENPERUTO	model
490	MUKKURU_M	MUKKURU_M	gendered
491	MUKKURU_F	MUKKURU_F	gendered
492	MUKUBAADO_M	MUKUBAADO_M	gendered
493	MUKUBAADO_F	MUKUBAADO_F	gendered
494	MUKUHOOKU_M	MUKUHOOKU_M	gendered
495	MUKUHOOKU_F	MUKUHOOKU_F	gendered
496	<807C0B30>	<807C0B38>	placeholder
497	<807C0B38>	<807C0B38>	placeholder
498	BIIDARU_M	BIIDARU_M	gendered
499	BIIDARU_F	BIIDARU_F	gendered
500	KOROBOOSI_M	KOROBOOSI_M	gendered
501	KOROBOOSI_F	KOROBOOSI_F	gendered
502	KOROTOKKU_M	KOROTOKKU_F	gendered
503	KOROTOKKU_F	KOROTOKKU_F	gendered
504	KORINKU_M	KORINKU_F	gendered
505	KORINKU_F	KORINKU_F	gendered
506	RUKUSIO_M	RUKUSIO_F	gendered
507	RUKUSIO_F	RUKUSIO_F	gendered
508	RENTORAA_M	RENTORAA_M	gendered
509	RENTORAA_F	RENTORAA_F	gendered
510	<807C0B40>	<807C0B40>	placeholder
511	ROZUREIDO_M	ROZUREIDO_M	gendered
512	ROZUREIDO_F	ROZUREIDO_F	gendered
513	ZUGAIDOSU	ZUGAIDOSU	model
514	RAMUPARUDO	RAMUPARUDO	model
515	TATETOPUSU	TATETOPUSU	model
516	TORIDEPUSU	TORIDEPUSU	model
517	MINOMUTTI_KUSA	MINOMUTTI_KUSA	model
518	MINOMUTTI_SUNA	MINOMUTTI_SUNA	model
519	MINOMUTTI_GOMI	MINOMUTTI_GOMI	model
520	MINOMADAMU_KUSA	MINOMADAMU_KUSA	model
521	MINOMADAMU_SUNA	MINOMADAMU_SUNA	model
522	MINOMADAMU_GOMI	MINOMADAMU_GOMI	model
523	GAAMEIRU	GAAMEIRU	model
524	MITUHANII_M	MITUHANII_M	gendered
525	MITUHANII_F	MITUHANII_F	gendered
526	<807C0B48>	<807C0B48>	placeholder
527	PATIRISU_M	PATIRISU_F	gendered
528	PATIRISU_F	PATIRISU_F	gendered
529	BUIZERU_M	BUIZERU_M	gendered
530	BUIZERU_F	BUIZERU_F	gendered
531	HUROOZERU_M	HUROOZERU_M	gendered
532	HUROOZERU_F	HUROOZERU_F	gendered
533	THERINBO	THERINBO	model
534	THERIMU_NEGA	THERIMU_NEGA	model
535	THERIMU_POSI	THERIMU_POSI	model
536	KARANAKUSI_WEST	KARANAKUSI_WEST	model
537	KARANAKUSI_EAST	KARANAKUSI_EAST	model
538	TORITODON_WEST	TORITODON_WEST	model
539	TORITODON_EAST	TORITODON_EAST	model
540	ETEBOOSU_M	ETEBOOSU_M	gendered
541	ETEBOOSU_F	ETEBOOSU_F	gendered
542	<807C0B50>	<807C0B50>	placeholder
543	HUWARAIDO	HUWARAIDO	model
544	MIMIRORU	MIMIRORU	model
545	MIMIROPPU	MIMIROPPU	model
546	MUUMAAZI	MUUMAAZI	model
547	DONKARASU	DONKARASU	model
548	NYARUMAA	NYARUMAA	model
549	BUNYATTO	BUNYATTO	model
550	<807C0B58>	<807C0B58>	placeholder
551	SUKANPUU	SUKANPUU	model
552	SUKATANKU	SUKATANKU	model
553	DOOMIRAA	DOOMIRAA	model
554	DOOTAKUN	DOOTAKUN	model
555	<807C0B60>	<807C0B60>	placeholder
556	<807C0B68>	<807C0B68>	placeholder
557	<807C0B70>	<807C0B70>	placeholder
558	<807C0B78>	<807C0B78>	placeholder
559	MIKARUGE	MIKARUGE	model
560	HUKAMARU_M	HUKAMARU_M	gendered
561	HUKAMARU_F	HUKAMARU_F	gendered
562	GABAITO_M	GABAITO_M	gendered
563	GABAITO_F	GABAITO_F	gendered
564	GABURIASU_M	GABURIASU_M	gendered
565	GABURIASU_F	GABURIASU_F	gendered
566	<807C0B80>	<807C0B80>	placeholder
567	<807C0B88>	<807C0B88>	placeholder
568	<807C0B90>	<807C0B90>	placeholder
569	HIPOPOTASU_M	HIPOPOTASU_M	gendered
570	HIPOPOTASU_F	HIPOPOTASU_F	gendered
571	KABARUDON_M	KABARUDON_M	gendered
572	KABARUDON_F	KABARUDON_F	gendered
573	SUKORUPI	SUKORUPI	model
574	DORAPION	DORAPION	model
575	GUREGGURU_M	GUREGGURU_M	gendered
576	GUREGGURU_F	GUREGGURU_F	gendered
577	DOKUROGGU_M	DOKUROGGU_M	gendered
578	DOKUROGGU_F	DOKUROGGU_F	gendered
579	MASUKIPPA	MASUKIPPA	model
580	KEIKOUO_M	KEIKOUO_M	gendered
581	KEIKOUO_F	KEIKOUO_F	gendered
582	NEORANTO_M	NEORANTO_M	gendered
